product_id,week_start_date,units_sold,price_charged,competitor_price
P001,2026-05-04,40,113,99
P001,2026-05-11,42,113,100
P001,2026-05-18,44,113,101
P001,2026-05-25,46,113,99
P001,2026-06-01,48,113,100
P001,2026-06-08,50,113,102
P001,2026-06-15,52,113,101
P001,2026-06-22,54,113,99
P001,2026-06-29,57,113,100
P001,2026-07-06,60,113,100
P002,2026-05-04,35,105,100
P002,2026-05-11,36,105,99
P002,2026-05-18,38,105,101
P002,2026-05-25,40,105,100
P002,2026-06-01,42,105,99
P002,2026-06-08,45,105,100
P002,2026-06-15,48,105,101
P002,2026-06-22,52,105,99
P002,2026-06-29,56,105,100
P002,2026-07-06,60,105,100
P003,2026-05-04,60,102,101
P003,2026-05-11,58,102,100
P003,2026-05-18,56,102,99
P003,2026-05-25,54,102,100
P003,2026-06-01,52,102,101
P003,2026-06-08,48,102,99
P003,2026-06-15,44,102,100
P003,2026-06-22,40,102,101
P003,2026-06-29,36,102,99
P003,2026-07-06,32,102,100
P004,2026-05-04,45,101,100
P004,2026-05-11,44,101,101
P004,2026-05-18,46,101,99
P004,2026-05-25,45,101,100
P004,2026-06-01,47,101,100
P004,2026-06-08,46,101,99
P004,2026-06-15,45,101,101
P004,2026-06-22,46,101,100
P004,2026-06-29,44,101,99
P004,2026-07-06,45,101,100
P005,2026-05-04,20,90,84
P005,2026-05-11,21,90,85
P005,2026-05-18,19,90,86
P005,2026-05-25,20,90,84
P005,2026-06-01,22,90,85
P005,2026-06-08,21,90,86
P005,2026-06-15,20,90,84
P005,2026-06-22,19,90,85
P005,2026-06-29,21,90,86
P005,2026-07-06,20,90,85
P006,2026-05-04,50,126,100
P006,2026-05-11,49,126,99
P006,2026-05-18,51,126,101
P006,2026-05-25,50,126,100
P006,2026-06-01,52,126,99
P006,2026-06-08,51,126,101
P006,2026-06-15,50,126,100
P006,2026-06-22,49,126,99
P006,2026-06-29,51,126,101
P006,2026-07-06,50,126,100
